Orthogroup	fast	lk	lp	slow
OG0003552	TRINITY_GG_10003_c0_g1_i1.p3	TRINITY_GG_15827_c0_g1_i4.p2	TRINITY_GG_7409_c0_g1_i2.p2	TRINITY_GG_5632_c0_g1_i2.p3
OG0003553	TRINITY_GG_10021_c0_g1_i3.p1	TRINITY_GG_16759_c0_g1_i2.p1	TRINITY_GG_34440_c1_g1_i5.p1	TRINITY_GG_18384_c1_g1_i3.p1
OG0003554	TRINITY_GG_10057_c0_g1_i4.p1	TRINITY_GG_1059_c0_g1_i6.p1	TRINITY_GG_31895_c0_g1_i4.p1	TRINITY_GG_28675_c1_g2_i4.p1
OG0003555	TRINITY_GG_10105_c1_g2_i1.p1	TRINITY_GG_15531_c0_g1_i1.p1	TRINITY_GG_29516_c0_g1_i1.p1	TRINITY_GG_18295_c2_g2_i1.p1
OG0003556	TRINITY_GG_10112_c0_g2_i2.p1	TRINITY_GG_15538_c2_g2_i5.p1	TRINITY_GG_29513_c1_g3_i2.p1	TRINITY_GG_18281_c1_g1_i1.p1
OG0003558	TRINITY_GG_10112_c7_g1_i1.p1	TRINITY_GG_15538_c0_g1_i1.p1	TRINITY_GG_29513_c0_g1_i3.p1	TRINITY_GG_18281_c6_g1_i1.p1
OG0003559	TRINITY_GG_10113_c0_g1_i3.p1	TRINITY_GG_15545_c0_g1_i1.p1	TRINITY_GG_29536_c4_g1_i13.p1	TRINITY_GG_18278_c0_g3_i6.p1
OG0003560	TRINITY_GG_10115_c0_g1_i1.p1	TRINITY_GG_15541_c0_g1_i10.p1	TRINITY_GG_29534_c0_g2_i1.p1	TRINITY_GG_18293_c0_g1_i5.p1
OG0003561	TRINITY_GG_10119_c0_g1_i2.p1	TRINITY_GG_17420_c1_g1_i7.p1	TRINITY_GG_27186_c4_g1_i1.p1	TRINITY_GG_18733_c0_g1_i1.p1
OG0003562	TRINITY_GG_10119_c1_g1_i1.p1	TRINITY_GG_17419_c0_g1_i3.p1	TRINITY_GG_27186_c0_g1_i1.p1	TRINITY_GG_18731_c0_g1_i5.p1
OG0003563	TRINITY_GG_10120_c0_g1_i2.p1	TRINITY_GG_17420_c0_g1_i7.p1	TRINITY_GG_27186_c1_g1_i8.p1	TRINITY_GG_18732_c0_g1_i3.p1
OG0003564	TRINITY_GG_10125_c0_g1_i8.p1	TRINITY_GG_11171_c0_g1_i65.p1	TRINITY_GG_22422_c0_g2_i1.p1	TRINITY_GG_5901_c0_g1_i7.p1
OG0003565	TRINITY_GG_10125_c1_g1_i1.p1	TRINITY_GG_11171_c2_g1_i3.p1	TRINITY_GG_22422_c1_g1_i1.p1	TRINITY_GG_5901_c1_g1_i1.p1
OG0003566	TRINITY_GG_10125_c2_g1_i4.p1	TRINITY_GG_11171_c1_g1_i2.p1	TRINITY_GG_22422_c2_g1_i5.p1	TRINITY_GG_5894_c0_g1_i3.p1
OG0003567	TRINITY_GG_10125_c3_g1_i1.p1	TRINITY_GG_11171_c24_g1_i1.p1	TRINITY_GG_22422_c25_g1_i1.p1	TRINITY_GG_5901_c3_g1_i1.p1
OG0003569	TRINITY_GG_10177_c0_g1_i2.p1	TRINITY_GG_16002_c1_g1_i1.p1	TRINITY_GG_19923_c0_g1_i2.p1	TRINITY_GG_14388_c0_g1_i1.p1
OG0003570	TRINITY_GG_10177_c1_g1_i7.p2	TRINITY_GG_16002_c2_g1_i4.p2	TRINITY_GG_19924_c1_g1_i5.p2	TRINITY_GG_14388_c1_g1_i7.p2
OG0003571	TRINITY_GG_10177_c1_g1_i7.p1	TRINITY_GG_16002_c2_g1_i4.p1	TRINITY_GG_19924_c1_g1_i5.p1	TRINITY_GG_14388_c1_g1_i7.p1
OG0003572	TRINITY_GG_10177_c2_g1_i2.p1	TRINITY_GG_16002_c2_g2_i5.p1	TRINITY_GG_19924_c0_g1_i10.p1	TRINITY_GG_14388_c3_g2_i4.p1
OG0003573	TRINITY_GG_10177_c5_g1_i1.p1	TRINITY_GG_16002_c1_g2_i1.p1	TRINITY_GG_19923_c0_g2_i4.p1	TRINITY_GG_14388_c2_g1_i1.p1
OG0003574	TRINITY_GG_10180_c0_g1_i7.p1	TRINITY_GG_16002_c0_g1_i1.p1	TRINITY_GG_19926_c0_g1_i8.p1	TRINITY_GG_14386_c0_g1_i4.p1
OG0003576	TRINITY_GG_10185_c0_g1_i26.p1	TRINITY_GG_10197_c0_g1_i21.p1	TRINITY_GG_17809_c0_g1_i65.p1	TRINITY_GG_13583_c0_g1_i14.p1
OG0003577	TRINITY_GG_10185_c1_g1_i4.p1	TRINITY_GG_10197_c1_g1_i2.p1	TRINITY_GG_17809_c4_g1_i30.p1	TRINITY_GG_13583_c1_g1_i8.p1
OG0003578	TRINITY_GG_10185_c2_g1_i8.p2	TRINITY_GG_10197_c3_g1_i1.p1	TRINITY_GG_17809_c3_g1_i11.p1	TRINITY_GG_13583_c2_g1_i3.p2
OG0003579	TRINITY_GG_10186_c0_g1_i2.p1	TRINITY_GG_10191_c0_g1_i2.p1	TRINITY_GG_17804_c0_g1_i5.p1	TRINITY_GG_13582_c0_g1_i1.p1
OG0003580	TRINITY_GG_10188_c0_g1_i20.p2	TRINITY_GG_24375_c0_g1_i14.p1	TRINITY_GG_28935_c0_g1_i3.p1	TRINITY_GG_18859_c0_g1_i8.p1
OG0003581	TRINITY_GG_10188_c1_g1_i20.p2	TRINITY_GG_24375_c1_g1_i20.p1	TRINITY_GG_28935_c1_g1_i45.p1	TRINITY_GG_18862_c0_g1_i1.p2
OG0003582	TRINITY_GG_10188_c2_g1_i2.p1	TRINITY_GG_24375_c8_g1_i13.p1	TRINITY_GG_28936_c0_g1_i7.p1	TRINITY_GG_18862_c2_g1_i3.p1
OG0003583	TRINITY_GG_10188_c3_g1_i4.p1	TRINITY_GG_24375_c2_g1_i17.p1	TRINITY_GG_28936_c1_g1_i4.p1	TRINITY_GG_18862_c1_g2_i11.p1
OG0003584	TRINITY_GG_10189_c0_g1_i1.p1	TRINITY_GG_24375_c6_g1_i1.p1	TRINITY_GG_28935_c2_g1_i1.p1	TRINITY_GG_18860_c0_g1_i10.p1
OG0003585	TRINITY_GG_10194_c1_g1_i1.p1	TRINITY_GG_22528_c4_g1_i2.p1	TRINITY_GG_17285_c2_g1_i1.p1	TRINITY_GG_29481_c0_g1_i1.p1
OG0003586	TRINITY_GG_10194_c20_g1_i11.p1	TRINITY_GG_22528_c2_g1_i15.p1	TRINITY_GG_17284_c0_g1_i31.p1	TRINITY_GG_29483_c0_g1_i16.p1
OG0003587	TRINITY_GG_10197_c1_g1_i10.p1	TRINITY_GG_19244_c1_g1_i7.p1	TRINITY_GG_3133_c1_g1_i10.p1	TRINITY_GG_32336_c1_g1_i2.p1
OG0003588	TRINITY_GG_10197_c1_g1_i10.p3	TRINITY_GG_19244_c1_g1_i7.p2	TRINITY_GG_3133_c1_g1_i10.p2	TRINITY_GG_32336_c1_g1_i2.p3
OG0003589	TRINITY_GG_10198_c0_g1_i20.p6	TRINITY_GG_27075_c0_g1_i14.p2	TRINITY_GG_23754_c0_g1_i5.p6	TRINITY_GG_21719_c0_g1_i21.p6
OG0003590	TRINITY_GG_10198_c1_g1_i2.p1	TRINITY_GG_27075_c1_g1_i2.p1	TRINITY_GG_23754_c1_g1_i1.p1	TRINITY_GG_21719_c1_g1_i10.p1
OG0003591	TRINITY_GG_101_c2_g1_i9.p1	TRINITY_GG_904_c1_g1_i20.p1	TRINITY_GG_549_c4_g1_i1.p1	TRINITY_GG_11897_c1_g1_i4.p1
OG0003592	TRINITY_GG_10200_c0_g1_i2.p1	TRINITY_GG_27076_c0_g1_i1.p1	TRINITY_GG_23753_c2_g1_i1.p1	TRINITY_GG_21727_c0_g1_i1.p1
OG0003593	TRINITY_GG_10200_c1_g1_i1.p1	TRINITY_GG_27076_c1_g1_i2.p1	TRINITY_GG_23753_c0_g1_i1.p1	TRINITY_GG_21726_c0_g1_i2.p1
OG0003594	TRINITY_GG_10200_c1_g1_i1.p2	TRINITY_GG_27076_c1_g1_i2.p2	TRINITY_GG_23753_c0_g1_i1.p2	TRINITY_GG_21726_c0_g1_i2.p2
OG0003595	TRINITY_GG_10200_c2_g1_i2.p1	TRINITY_GG_27076_c4_g1_i2.p1	TRINITY_GG_23753_c3_g1_i2.p1	TRINITY_GG_21727_c1_g2_i1.p1
OG0003596	TRINITY_GG_10200_c4_g1_i2.p1	TRINITY_GG_27076_c0_g1_i1.p2	TRINITY_GG_23753_c1_g1_i1.p1	TRINITY_GG_21724_c0_g1_i2.p1
OG0003597	TRINITY_GG_10203_c0_g2_i1.p1	TRINITY_GG_27076_c3_g1_i2.p1	TRINITY_GG_23751_c0_g1_i4.p1	TRINITY_GG_21720_c0_g1_i4.p1
OG0003598	TRINITY_GG_10204_c0_g1_i2.p1	TRINITY_GG_27076_c2_g1_i4.p1	TRINITY_GG_23753_c4_g1_i8.p2	TRINITY_GG_21721_c0_g1_i1.p1
OG0003599	TRINITY_GG_10214_c0_g1_i1.p1	TRINITY_GG_22035_c0_g1_i1.p1	TRINITY_GG_6939_c0_g1_i2.p1	TRINITY_GG_7112_c0_g1_i1.p1
OG0003600	TRINITY_GG_10215_c0_g1_i1.p1	TRINITY_GG_22029_c1_g1_i1.p1	TRINITY_GG_6944_c0_g1_i1.p1	TRINITY_GG_7118_c0_g2_i1.p1
OG0003601	TRINITY_GG_10231_c0_g1_i1.p1	TRINITY_GG_24371_c0_g1_i1.p1	TRINITY_GG_13351_c0_g1_i2.p1	TRINITY_GG_21515_c0_g1_i1.p1
OG0003602	TRINITY_GG_10234_c0_g1_i1.p1	TRINITY_GG_20117_c0_g1_i14.p1	TRINITY_GG_3483_c0_g1_i5.p1	TRINITY_GG_3665_c0_g1_i2.p1
OG0003603	TRINITY_GG_10243_c0_g1_i4.p1	TRINITY_GG_8257_c0_g1_i3.p1	TRINITY_GG_14569_c2_g1_i4.p4	TRINITY_GG_6930_c0_g1_i3.p1
OG0003604	TRINITY_GG_10243_c2_g1_i11.p1	TRINITY_GG_8258_c4_g1_i2.p1	TRINITY_GG_14569_c2_g1_i4.p1	TRINITY_GG_6929_c0_g1_i31.p1
OG0003605	TRINITY_GG_10243_c3_g1_i2.p1	TRINITY_GG_8256_c1_g2_i1.p1	TRINITY_GG_14570_c0_g1_i5.p1	TRINITY_GG_6928_c0_g1_i3.p1
OG0003606	TRINITY_GG_10243_c4_g1_i1.p1	TRINITY_GG_8258_c1_g1_i1.p1	TRINITY_GG_14569_c1_g1_i1.p1	TRINITY_GG_6929_c1_g1_i1.p1
OG0003609	TRINITY_GG_10251_c0_g2_i2.p1	TRINITY_GG_32240_c0_g1_i1.p1	TRINITY_GG_12845_c0_g1_i3.p1	TRINITY_GG_4756_c0_g1_i8.p1
OG0003610	TRINITY_GG_10256_c1_g1_i8.p1	TRINITY_GG_15888_c0_g1_i2.p1	TRINITY_GG_1950_c0_g1_i1.p1	TRINITY_GG_20525_c1_g1_i2.p1
OG0003611	TRINITY_GG_10258_c0_g1_i1.p1	TRINITY_GG_14591_c1_g5_i1.p1	TRINITY_GG_11872_c0_g1_i1.p1	TRINITY_GG_27635_c0_g1_i1.p1
OG0003613	TRINITY_GG_10266_c0_g1_i19.p2	TRINITY_GG_17307_c0_g2_i1.p1	TRINITY_GG_6954_c0_g1_i3.p2	TRINITY_GG_5686_c2_g1_i24.p1
OG0003614	TRINITY_GG_10266_c0_g2_i2.p2	TRINITY_GG_17307_c0_g1_i7.p4	TRINITY_GG_6954_c9_g1_i1.p6	TRINITY_GG_5686_c0_g1_i1.p3
OG0003615	TRINITY_GG_10266_c0_g2_i2.p1	TRINITY_GG_17307_c0_g1_i7.p2	TRINITY_GG_6954_c9_g1_i1.p3	TRINITY_GG_5686_c0_g1_i1.p1
OG0003616	TRINITY_GG_10266_c1_g1_i5.p1	TRINITY_GG_17307_c0_g1_i7.p1	TRINITY_GG_6954_c9_g1_i1.p1	TRINITY_GG_5686_c7_g2_i1.p1
OG0003617	TRINITY_GG_10269_c0_g1_i3.p1	TRINITY_GG_17307_c2_g1_i4.p1	TRINITY_GG_6954_c3_g1_i11.p1	TRINITY_GG_5686_c3_g1_i6.p1
OG0003618	TRINITY_GG_10269_c2_g1_i6.p1	TRINITY_GG_17307_c1_g1_i50.p1	TRINITY_GG_6954_c1_g1_i8.p1	TRINITY_GG_5686_c4_g1_i4.p1
OG0003619	TRINITY_GG_10270_c2_g1_i3.p1	TRINITY_GG_17303_c1_g2_i5.p1	TRINITY_GG_6954_c33_g1_i5.p1	TRINITY_GG_5689_c3_g1_i5.p1
OG0003620	TRINITY_GG_10275_c25_g1_i2.p1	TRINITY_GG_13593_c2_g1_i1.p1	TRINITY_GG_18911_c1_g2_i1.p1	TRINITY_GG_34651_c3_g1_i1.p1
OG0003621	TRINITY_GG_10275_c2_g1_i20.p1	TRINITY_GG_13593_c1_g1_i12.p1	TRINITY_GG_18911_c0_g1_i16.p1	TRINITY_GG_34651_c2_g1_i17.p1
